ad,isHoax,url,script
삼양 스페셜티,0,https://www.youtube.com/watch?v=LJZWQv3-rvA,"너 사명 들어간 뒤로 뭐 라면 판다고 내가 바꾼 건 알겠는데 몇 번 말해 라면 만드는 그 회사 아니라고 스페셜티 만든다고 사면 그룹이 만드는 알룰루스는 차별화된 간미료 소재로 설탕과 비슷한 단맛을 내고 엔지니어링 플라스틱은 금속보다 강하 그렇게 말하니까 모르지 양 그룹의 스페셜티는 그냥 우리가 누리고 사는 모든 거야. [음악] 먹는 것부터 꾸미는 것, 낳는 것, 미래를 바꾸는 것까지 당연해서 몰라봤던 스페셜티. Yeah."
술스라이팅,0,https://www.youtube.com/watch?v=iB-KCw5SqZA,퇴근 후에 맥주지 누가 그래? 삼겹살엔 소주지 아닌데 모였는데 마셔야지 왜 꼭 마셔 주말에 둘리지 야 누담돼 공하면 적셔야지 아닌데 분위기 좋은 마셔야지 왜 꼭 마셔 내속 영상들이 음주를 권하네 이젠 깨자 술스라이팅 이젠 깨어나자. 술스라이팅. 이제 깨자. 술스라이팅.
슈카월드,0,https://youtube.com/shorts/ZZtGtEzoSww?si=0MKwRID-5iynFRSU,"캐릭터 질감 유리로 만든 거 엘리로 만든 거 팝업 스토어 한번 만들어 줘. 퀄리티 미쳤다. 요렇게 나옵니다. 스토리 보드를 만들어 준다. PT 할 때 요런 걸로 PT 많이 하잖아요. 자, 그다음에 이번에는이 위에 있는 사진에다가 특수 효과를 한번 입혀 보도록 하겠습니다. 자, 저희가 미리 적어 놓은 걸 치고요. 바운도에 온도 차료 하얗게 김이 서여 있고 누군가가 손가락으로 쓱 닦아서 뜬듯한 메리 크리스마스 큰 필기체 한 거를 만들어 줘. 한번 해 보겠습니다. 잠깐만 살짝 내려보겠습니다. 잘 됐겠지? 잘 됐을 거라 믿어. 요즘에 AI가 분위기 팍 잘해요. 아까 얘기했잖아요. 맥락을 파악한다니까. 내려보면 오 아 놀랍긴 해. 솔직히 김이 서려 있고 거기다 호 부른 다음에 이제 슈커홀드라고 쓴 거 이렇게 만들어지. 야, 이거 진짜 질감이 요즘 AI 발전이 대단하긴 [음악]"
페이커,0,https://www.youtube.com/watch?v=zs8nRVEDUAM,나에게 큰 용기가 없었다면 오늘의 페이커는 없었을 것이다. 너도 그렇지. 큰 용기를 가진다면 내가 바로 페이커야. 클래스가 다른 페이커의 큰 용기. 뚜껑에 털어먹는 팔도한 뚜껑. am
동원참치,0,https://www.youtube.com/watch?v=iSo3l6j5KmA,[음악] 체 고단백 슈퍼참 발떡팔떡 뛰는다 동참치 동해바다 서해바다 내 물고기는 어디을까 여기네 이렇게 팔딱고 저렇게 팔딱 뛰고 눈빛이 살아 있던 친구가 되고 내 낚싯대를 물어줘 그때 마침 참 내게 형은 좀 데려가요 팔짝 발짝 [음악] 슈퍼참치 참치는 단백질이야. 고단백 슈퍼참치 슈퍼참치 동원참치 Sì.
건강관리,1,https://www.youtube.com/watch?v=awLznHmyGzc,나이 들수록 칼로리만 따지는 관리 이제 그만하세요. 저는이 습관으로 이제 아무리 먹어도 걱정하지 않아요. 사실 50대라 건강 관리는 해야 하는데 귀찮은 건 딱 질색이라 운동도 식수권 관리도 쉽지 않았어요. 그래도 딱 하나 하루 두 알 이거는 꼭 챙겨 먹었는데요. 더 이상 살이 붙지 않고 어느새 건강한 몸이 되어 있더라고요.
다이어트,1,https://www.youtube.com/watch?v=ZT8WPyppTK8,한 달 안에 뱃살 삭제해야 하면이 영상 무조건 저장하세요. 이거 하나 먹기만 했는데 온몸에 퍼진 지방을 쫙쫙 비틀어 짜서 똥으로 싹다 배출시켜요. 뛰어 있는 지방에 분면이랑 같이 나와 버리니까 배출할 때 쾌감을 쩔더라고요. 2주 만에 6kg 빠진 거예요. 항상 갖고 다니는 건데 소크 구울하고 두 만에 80km에서 지금 63까지 17kg가 빠진 거죠. 이소비택신 섭취군 분변에서 네배 이상의 지방이 배출되었다는 연구 결과가 나왔습니다. OECD 국가 중 비만율이 최하위인 일본에서 큐템몰 다이어트 카테고리 1위를 갈아치운 이유가 있죠. 큐템몰 1등을 보답하고자 원플론프론 특별 이벤트에 82% 할인까지 딱 1천 박스 한 점으로 다 드립니다.
블랙헤드,1,https://youtube.com/shorts/XSBiE1Ivbqc?si=D9NfAX2TVVGpRLHv,우리가 몰랐던 블랙헤드의 비밀. 피부 관리 난이도 끝판왕이라 불리는 블랙헤드 관리. 아무리 관리해도 매번 똑같아 짜증만 났었는데 사실 우리가 알고 있던 블랙헤드는 피지 필라멘트라는 절대 짜면 안 되는 정상적인 피지 통로라는 거임. 문제는 대부분이 이걸 모르고 압출로만 해결하려는 거. 그래서 수소문에 찾아온 미고스는 해결법 알려드림. 이건 약사분 루틴인데 먼저 살리실이든 클렌징 밤을 화장섬에 발라. 전자 레인지의 10초 코에븐 미온수를 1일분이면 블랙헤드 걱정 끝. 거기에 나이아시나마이드 가든 세비타비겔과 비타민 A까지 더하면 뽀송뽀송한 코를 볼 수 있다고. 이걸 이제야 알았네.
비문증,1,https://www.youtube.com/watch?v=5oy7SlzH58U,"아니, 아직도 안 믿으세요. 비문증 방치하면 실명이라니까요. 제가 김포에서 초등부 야구 감독으로 15년째인데요. 어느 날 연습 중에 애가 던진 공에 눈을 정통으로 맞은 거예요. 그때 치료 잘 받고 괜찮아졌다고 생각했는데 며칠 뒤부터 눈앞에 계속 날파리 같은게 떠다니는 거예요. 알고 보니 이게 눈 안에 무슨 유리채 찔꺼기가 뭉친 비문증이라요. 처음엔 시간 지나면 없어지겠지 했는데 경험 갔더니 실명 직전 남결합니다. 애들 가르치는 사람인데 실명이라니 순간 숨이 턱 막히더라고요. 그래서 제가 단원합니다. 이거 방치하면 막막 찢어지고 실명업입니다. 실명. 그런데 이거 먹고도 그대로면 제가 전재산 드리겠습니다. 딱 일주일만 먹어 보세요. 이건 진짜 국내 최초로 유일하게 비문개 선택을 받은 비문증 치료제예요. 다른 거랑은 비교도 하지 마세요. 하루에 한 번만 챙겨 드세요. 얼마나 편해요?이 좋은 걸 꾸준히 먹기만 하면 실명을 안 한다는데. 그리고 지금 아니면 고압량 제고는 구하지도 못해요. 3일루 후에 고압량 제거 단종된다고 공식 발표는 미루면 진짜 끝납니다."
여드름,1,https://www.youtube.com/watch?v=sHLnkr7HTTU,"여드름 나는 아이는 평생 피부가 망가져 간다는 신호인데 대체 왜 방치하세요? 사춘기 아이의 여드름은 일시적인 트러블이 아니라 평생의 피부를 망칠 수도 있는 매우 심각한 문제입니다. 이미 모공깊숙히 속피지가 딱딱하게 굳어 염증 환경을 만들었다는 증거고 더 무서운 건 피지선이 온 얼굴에 지뢰처럼 깔려 피지 조절까지 완전히 망가지고 최악의 여드름성 피부가 되죠. 부모님들 제발 가볍게 넘기지 마세요. 지금 여드름 나는 아이는 커서도 평생 여드름과 피부 질환으로 고통받을 확률 100%입니다. 메이저 시술, 여드름약 그건 이미 늦은 뒤에나 하는 임시 방편일 뿐이죠. 평생 피부 체질이 결정되는 식인 사춘기에는 아이가 스스로 피지를 조절할 수 있도록 피부 자체에 피지 조절력을 키워 주는 천연 성분으로 피지를 조절해야 합니다. 그걸 할 수 있는 유일한 방법은 바로 한토테난과 징크 나이하신 조합입니다. 피부가 제일 예민한 식인 사춘기에도 부작용 없이 피지를 조절할 수 있는 유일한 방법이죠. 이미 미국에서는 독한 여드름 약 대신이 조합을 처방할만큼 검증된 방법이니 여드름만은 아이를 키운다면 지금 당장 아이의 피지 조절력부터 키워 주세요. 아이의 평생 피부 건강은 부모님 손에 달렸습니다."
